iter	Logloss
0	0.6846541438
1	0.6764972527
2	0.668828686
3	0.6621555984
4	0.656242972
5	0.6487747629
6	0.6427856302
7	0.637565962
8	0.6335615631
9	0.6294528025
10	0.6246902218
11	0.621705084
12	0.617969197
13	0.614417254
14	0.6120425746
15	0.6091367144
16	0.6063724356
17	0.6036533485
18	0.6016092123
19	0.5993099967
20	0.5971806171
21	0.5949973872
22	0.5932453411
23	0.5919787201
24	0.5901540588
25	0.5889147199
26	0.5873303167
27	0.5857157762
28	0.584315042
29	0.5829180354
30	0.5818140371
31	0.5806925413
32	0.5795513451
33	0.5781832414
34	0.5769365285
35	0.5758979619
36	0.5749093054
37	0.5739891121
38	0.5730011394
39	0.57197404
40	0.5709922112
41	0.5701035235
42	0.5693615221
43	0.5682801195
44	0.5674718305
45	0.5665733675
46	0.5660131796
47	0.5649791399
48	0.5641291892
49	0.5634959781
50	0.5623287415
51	0.5614105537
52	0.5604373887
53	0.5596966695
54	0.5587220206
55	0.5580449817
56	0.5572437313
57	0.5563480797
58	0.5554764646
59	0.5549405806
60	0.554545469
61	0.5538560902
62	0.5533823543
63	0.5527504065
64	0.5522849679
65	0.5516993273
66	0.5512079024
67	0.5504881258
68	0.5501799325
69	0.5495177764
70	0.5487854826
71	0.5482208858
72	0.5472267379
73	0.5466806566
74	0.5461598724
75	0.5456870019
76	0.5450541494
77	0.5444066127
78	0.5440039591
79	0.5433858072
80	0.5424612042
81	0.5419213959
82	0.5413475815
83	0.5404143642
84	0.5397044612
85	0.5393713221
86	0.5386970572
87	0.5378388621
88	0.5374029223
89	0.5369093412
90	0.536620098
91	0.5360078104
92	0.5355409689
93	0.5348219042
94	0.5344256696
95	0.5339337747
96	0.5332901403
97	0.5328993568
98	0.5325159157
99	0.5318724967
100	0.5315083574
101	0.5305120325
102	0.5300274137
103	0.529229112
104	0.5284279086
105	0.5280661218
106	0.5275695055
107	0.5270120869
108	0.5266112036
109	0.5258383977
110	0.5253583445
111	0.5245081404
112	0.5241574976
113	0.5235560677
114	0.5230681109
115	0.5226647059
116	0.5223197419
117	0.5220124914
118	0.521376511
119	0.5208830234
120	0.5201721442
121	0.5195032319
122	0.5188864289
123	0.5178306104
124	0.5176117646
125	0.5172797844
126	0.5170808085
127	0.5165041235
128	0.5160736139
129	0.5155795283
130	0.5149703953
131	0.5146563815
132	0.5141387363
133	0.5135446509
134	0.5130179239
135	0.5125777631
136	0.5116607361
137	0.5108805931
138	0.5101762497
139	0.5099877072
140	0.509514683
141	0.5091103411
142	0.5087164284
143	0.5084131261
144	0.5077263074
145	0.5072318169
146	0.5066846845
147	0.505932168
148	0.5051524478
149	0.5047148365
150	0.5044092394
151	0.5040250338
152	0.5038067469
153	0.5034239146
154	0.5029965348
155	0.5024233009
156	0.5019802872
157	0.5015186274
158	0.5010606883
159	0.5007642066
160	0.5002370399
161	0.4998756019
162	0.4994490397
163	0.4988585133
164	0.4982494994
165	0.4978546148
166	0.4973739607
167	0.4967653638
168	0.4962384726
169	0.4957538195
170	0.4953110394
171	0.4947342417
172	0.4942083579
173	0.493803681
174	0.4933120644
175	0.4926382168
176	0.4921113073
177	0.4914607801
178	0.4909662264
179	0.490571872
180	0.4899848473
181	0.4895888503
182	0.4889470198
183	0.4886759244
184	0.4880789848
185	0.4875250546
186	0.4869931071
187	0.4864284013
188	0.4859951081
189	0.4854146686
190	0.4849147015
191	0.4841790076
192	0.4838256211
193	0.4830333013
194	0.4824448423
195	0.4817700251
196	0.4808916941
197	0.4802561101
198	0.4797461456
199	0.4792875312
