Feature,Mean |SHAP|
mother_height_cm,0.344643556785965
child_gender,0.20372802473027105
anc_unknown,0.11850532307664287
mother_education_level,0.09722379340898994
has_delivery_insurance,0.09587717285995614
anc_hospital,0.09150113109977985
improved_sanitation,0.06121558447587109
mother_age_at_birth,0.05795660625488148
mother_employment_status,0.056556207889472514
has_refrigerator,0.05373835432430464
has_tv,0.03719097998844256
is_high_risk_mother_age,0.03647762474557516
home_ownership,0.025416551477003287
anc_clinic_midwife,0.011000171851111318
is_teenage_mother,0.008507186383454012
has_electricity,0.00532439599412082
improved_water,0.002326637324476502
anc_traditional_other,0.0006518430615658545
