Model,Accuracy,Precision,Recall,F1,ROC-AUC
Logistic Regression,0.6165644171779141,0.43847874720357943,0.6125,0.5110821382007823,0.6718607522796353
Random Forest,0.6809815950920245,0.5158730158730159,0.40625,0.45454545454545453,0.6807608282674772
XGBoost,0.7096114519427403,0.6232876712328768,0.284375,0.3905579399141631,0.6857760258358663
CatBoost,0.6983640081799591,0.5925925925925926,0.25,0.3516483516483517,0.6876234802431611
LightGBM,0.6523517382413088,0.4748743718592965,0.590625,0.5264623955431755,0.6865976443768997
Ensemble Voting,0.6022494887525562,0.4350282485875706,0.721875,0.5428907168037603,0.6884356003039513
