household_id,child_id,child_unique_id,child_age,child_gender,ar11,mother_pid14,mother_pidlink,mother_age
0041300,9.0,004130009,1.0,3:Female,51:Did not live in this household,,,
0041341,8.0,004134108,3.0,3:Female,2.0,2.0,004130005,36.0
0041441,6.0,004144106,0.0,1:Male,2.0,2.0,004144102,33.0
0041451,4.0,004145104,1.0,3:Female,2.0,2.0,004140011,23.0
0041500,11.0,004150011,3.0,1:Male,4.0,4.0,004150004,47.0
0041941,3.0,004194103,0.0,1:Male,2.0,2.0,004194102,27.0
0042242,3.0,004224203,3.0,3:Female,51:Did not live in this household,,,
0042251,5.0,004225105,2.0,1:Male,2.0,2.0,004225102,35.0
0042321,5.0,004232105,1.0,1:Male,1.0,1.0,004230003,32.0
0042531,6.0,004253106,4.0,1:Male,2.0,2.0,004253102,40.0
0042600,13.0,004260013,4.0,3:Female,15.0,15.0,004260015,24.0
0042600,14.0,004260014,1.0,1:Male,15.0,15.0,004260015,24.0
0042741,7.0,004274107,4.0,1:Male,5.0,5.0,004274105,37.0
0042951,3.0,004295103,0.0,3:Female,2.0,2.0,004295102,22.0
0042951,4.0,004295104,0.0,1:Male,2.0,2.0,004295102,22.0
0043022,8.0,004302208,4.0,1:Male,2.0,2.0,004300005,40.0
0050441,8.0,005044108,2.0,1:Male,7.0,7.0,005044107,23.0
0050441,9.0,005044109,0.0,1:Male,7.0,7.0,005044107,23.0
0050641,4.0,005064104,4.0,3:Female,2.0,2.0,005060004,29.0
0050651,3.0,005065103,3.0,3:Female,2.0,2.0,005065102,24.0
0050651,4.0,005065104,1.0,1:Male,2.0,2.0,005065102,24.0
0050951,3.0,005095103,3.0,3:Female,2.0,2.0,005095102,31.0
0050952,3.0,005095203,2.0,3:Female,2.0,2.0,005090010,22.0
0051100,7.0,005110007,0.0,1:Male,6.0,6.0,005110006,26.0
0051312,7.0,005131207,4.0,1:Male,3.0,3.0,005131203,35.0
0051312,8.0,005131208,2.0,3:Female,3.0,3.0,005131203,35.0
